Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
KAMANO,-14.8833,28.4833,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Group,Central Province,80 KM NE of Lusaka,Gold,Copper,,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"A LONG QUARTZ VEIN CONTAINING IRON OXIDES AND COPPER MINERALS IS TRACEABLE OVER 1,900 M AT AN AVERAGE WIDTH OF 050 M SURFACE SAMPLES ASSAYED FROM TRACES TO 179 G AU/T, REPORTEDLY AVERAGING A QUESTIONABLE 19 G AU/T QUARTZ AND COPPER MINERALS ARE PRESENT ON THE DUMP","TOO LITTLE DATA TO FORM MUCH OF AN OPINION. HOWEVER, THE VEIN IS AURIFEROUS AND THE STRUCTURE SIGNIF...",270.118904,3.858841486
CHISAMBA AND MAOMBOSHI (IRON),-14.95,28.1744,Central Province,Kabwe,Central > Kabwe,East Of Lusaka-Kabwe Road,Kabwe,48 KM north of Lusaka,Iron,Gold,,INACTIVE,SEDIMENTARY IRON FORMATION,"CHISAMBA, 48 KM N OF LUSAKA, SEDIMENTARY IRON FORMATION NEAR BASE OF THE KATANGA SYSTEM STRIKE E, DIP 45° S, 3 KM LONG, 15 M THICK CONSISTS OF MAGNETITE AND HEMATITE GRADING 50% TO 60% FE, PREVIOUSLY MINED AS MAOMBOSHI IRON MAOMBOSHI RIDGE, GUERNSEY MO 192, 17 KM E OF CHISAMBA, SIMILAR TO CHISAMBA, MINED IN 1952-55 WHEN 11,800 T WERE SHIPPED TO KABUE FOR METALLURGICAL PURPOSES AVERAGE GRADE WAS 589% FE AND 78% SIO2","Mineralization: GOLD, IRON.",271.0001433,3.871430618
KAPUTA,-14.8833,28.5,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Group,Central Province,50 KM NE of Lusaka,Gold,,,UNKNOWN,ELUVIAL-ENRICHED GOLD FROM HYDROTHERMAL STOCKWORKS,"THE AREA IS FLAT AND UNDERLAIN BY WEATHERED BASEMENT ROCKS WHICH ARE COMPOSED MAINLY OF STRONGLY SHEARED LEUCOCRATIC-MUSCOVITE GNEISSES, QUARTZ-MUSCOVITE SCHISTS AND MASSIVE, RECRYSTALLIZED QUARTZITES OFTEN THIN LAYERS OF QUARTZITE ARE INTERCALATED IN THE SCHISTS AS ARE SMALL CONCORDANT PEGMATITE FOLIATION PLANES CONTAIN AS ACCESSORY MINERALS A SMALL AMOUNT OF MUSCOVITE AND RARE AMOUNTS OF HEMATITE WITHIN THE PROSPECT AREA, THE BEDROCK IS CAPPED BY A LOCALLY DEVELOPED, POORLY SORTED, SANDY TOP LAYER FOLLOWED BY AN ELUVIAL RUBBLE THE SAND LAYER, 0 TO 16 M THICK, IS COMPOSED OF COARSE TO MEDIUM, POORLY SORTED AND ROUNDED QUARTZ GRAINS BELIEVED AN ELUVIUM WASHED AND TRANSPORTED OVER SHORT DISTANCES THE RUBBLE IS COMPOSED OF ANGULAR QUARTZITE PEBBLES AND QUARTZ/QUARTZ-HEMATITE ROCK MIXED WITH SCHIST FRAGMENTS IN A TOTALLY WEATHERED MATRIX THE PEBBLES VARY IN SIZE WITH THE QUARTZ-HEMATITE PEBBLES BEING AURIFEROUS AND BELIEVED TO BE OF A VEIN ORIGIN THE SCHISTS ARE MAINLY QUARTZ AND MUSCOVITE WITH RARE AMOUNTS OF KYANITE AND FELDSPAR QUARTZ GRAINS OFTEN EXHIBIT A MOSAIC STRUCTURE INDICATIVE OF HEAVY STRESSES DURING TECTONIC EVENTS DISSEMINATED IRON OXIDES IN THE SCHISTS OFTEN PRODUCE A MARKED RED COLOUR QUARTZITES ARE OCCASIONALLY SHEARED OR EVEN MYLONITIZED EAST-WEST-STRIKING AND VERTICALLY DIPPING, TINY QUARTZ VEINS, 5 TO 40 CM THICK, OCCUR AS STOCKWORKS OVER 1 TO 2 M WIDTHS AND STRIKE LENGTHS OF 200-400 M THESE VEINLETS CUTTING THE NEAR FLAT-LYING HOST ROCKS ARE THOUGHT TO BE THE SOURCE OF THE GOLD-BEARING QUARTZ FRAGMENTS THE PROSPECT IS BELIEVED TO BE LOCATED ON THE MAOMBOSHI DISLOCATION ZONE FAINT TRACES OF DISPLACEMENT OF THE COUNTRY ROCKS ARE VISIBLE BUT OBSCURED BY THE STRONG WEATHERING THE AURIFEROUS ROCK IS STRONGLY OXIDIZED AND COMPOSED PREDOMINANTLY OF QUARTZ, LIMONITE AND HEMATITE, AND LOCALLY A CONSIDERABLE AMOUNT OF ANKERITE THE GOLD OCCURRING AS FREE GOLD IS VERY FINE GRAINED THE GRADES VARY FROM 004 G/T TO 52 G/T GOLD WITH ACCOMPANYING BISMUTH GRADES UP TO 10,000 PPM","Rock types: SCHIST; Mineralization: GOLD, IRON.",270.580466,3.865435228
LITETA,-14.7667,28.05,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Area,Central Province,73 KM WNW of Lusaka,Gold,,,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"A NORTHEAST-STRIKING, NARROW QUARTZ-IRON CARBONATE VEIN TRACEABLE OVER 120 M AND TO A DEPTH OF 25 M THE VEIN AVERAGES 012 M WIDTH AND CARRIES ERRATIC GOLD VALUES FROM MINOR AMOUNTS TO SEVERAL GRAMS PER TONNE OTHER NARROWER PARALLEL VEINS ARE PRESENT",Mineralization: GOLD.,249.2777871,3.561111245
KATIE,-13.8706,29.925,Central Province,Central Province,Central,Petauke Mission,Central Province,40 KM SE of Petauke mission,Gold,,,INACTIVE,HYDROTHERMAL QUARTZ VEINS,"FIVE BLOCKS OF CLAIMS (KATIE EXTENSION) AND FOUR BLOCKS OF CLAIMS (PETAUKE) COMPRISE NO 62, LOCATED ON A RIDGE BETWEEN THE PETAUKE AND MSAKA STREAMS MINERALIZATION CONSISTS OF: A) THIN (A FEW CM WIDE) IRON STAINED GOLD BEARING QUARTZ LENSES THAT FOLLOW THE FOLIATION OF THE BEDROCK (SANDY MICACEOUS SCHISTS); B) A 12 M TO 18 M WIDE GOLD BEARING DYKE; C) A SERIES OF THIN CROSS-CUTTING GOLD BEARING QUARTZ VEINS OR STRINGERS THE DYKE EXPOSED IN 11 TRENCHES AND A SHAFT APPEARS TO BE THE MOST IMPORTANT GOLD BEARING UNIT OF 12 SAMPLES OF DYKE MATERIAL TAKEN FROM THE DUMP, 3 ASSAYED 85 G AU/T, 1 ASSAYED 153 G AU/T AND ONE 75 G AU/T ZAMEX EXAMINED IN 1961 AND DESCRIBED THE SHOWING AS AN ANTICLINAL STRUCTURE OF INDURATED MICACEOUS QUARTZITE INTERBEDDED WITH QUARTZ-MICA SCHISTS BEST CHANNEL SAMPLE GAVE 17 G AU/T OVER 91 M WITH ONE GRAB SAMPLE AT 75 G AU/T",WIDESPREAD GOLD MINERALIZATION WARRANTS A RE-INVESTIGATION.,269.3828186,3.84832598
KAWENISHA,-14.5,29.5833,Central Province,Central Province,Central,Approximately 7 Km Nw (?) Of Chief Kawenishas Village,Central Province,Approximately 18 KM east of old Mkushi,Beryl,,,UNKNOWN,BERYL-BEARING PEGMATITE,"THE PEGMATITE CROPS OUT FOR 195 M BY 15 M, STRIKING 40° IT IS ZONED WITH BARREN QUARTZ, FELDSPAR AND MICA AT THE ENDS, AND THE SAME MINERALS WITH ACCESSORY BERYL IN THE CENTRAL 80-90 M THE BERYL IS ABUNDANT IN PLACES, BUT AS EXPOSED IN PITS IS ALL CLOUDY AND CHARGED WITH INCLUSIONS IT OCCURS AS BLUE-GREEN CRYSTALS AVERAGING <1 CM TO 15 CM AND IS HIGHLY FRACTURED NO GEMS HAVE BEEN FOUND","ALTHOUGH IT IS POSSIBLE THAT BETTER QUALITY MATERIAL IS PRESENT AT DEPTH, THE CHANCE OF FINDING SIGN...",287.9906567,4.114152239
BUFFALO - QUAGGA CHATEKA,-14.6375,29.3914,Central Province,Central Province,Central,Western End Of Lunsemfwa Valley,Central Province,125 KM NE of Lusaka,Gold,,,UNKNOWN,HYDROTHERMAL QUARTZ VEINS,"UNCLASSIFIED THICK SEQUENCE OF SHEAR-FOLDED SCHIST AND QUARTZITE WITH THE CHATEKA OCCURRING AT THE W CONTACT OF A SYNTECTONIC HORNBLENDE-GRANITE BUFFALO-QUAGGA (NO 168, RMC 35 AND 116) IS LOCATED AT LAT 14°38'S, LONG 29°23'E, AND CONSISTS OF OLD TRENCHES EXPOSING QUARTZ VEINLETS (AVERAGE THICKNESS LESS THAN 03 M) CARRYING MALACHITE, TOURMALINE, IRON OXIDES AND BISMUTH MINERALS ASSAYED HIGH GOLD VALUES, BUT THESE WERE NOT CONTROLLED CHATEKA (NO 165, RMC 117) IS LOCATED AT LAT 15°02'S, LONG 29°28'E, AND CONSISTS OF QUARTZ RUBBLE OVER A 60 M SQ AREA THAT ASSAYED UP TO 48 G AU/T, BUT AVERAGED LESS THAN ONE G AU/T",THE NARROW NATURE OF THE QUARTZ VEINS COUPLED WITH THE BELIEVED SURFACE ENRICHED GOLD MAKE THE DEPOSIT OF LOW PRIORITY.,287.2223739,4.10317677
KAMPUMBA,-14.5,29.0833,Central Province,Central Province,Central,12.8 Km Sw Of The Lunsemfwa Power Station,Central Province,78 KM by road from Kabwe,Iron,Manganese,,INACTIVE,REPLACEMENT DEPOSIT,"THE DEPOSIT IS REPORTED BY GUERNSEY TO BE A REPLACEMENT OF IMPURE LIMESTONE IN THE BASEMENT IT FORMS THREE PROMINENT HILLS (EAST, MIDDLE AND WEST) ALONG A DISTANCE OF 2,400 M AND HAS A MAXIMUM WIDTH OF 30 M THE MN ORE OCCURS AS RUBBLE AND SURFACE ENRICHED SOLID ROCK THE MN ORE IS MAINLY PSILOMELANE WITH LOCAL ENRICHMENT OF BRAUNITE HAUSMANNITE AND LATE VEINS OF PYROLUSITE ARE FAIRLY COMMON AT DEPTH THE MN GIVES WAY TO MASSIVE HEMATITE WITH A LITTLE MAGNETITE THOUGH A FEW VEINLETS OF MN PERSIST REPRESENTATIVE SAMPLES QUOTED BY GUERNSEY RAN 6773% AND 5753% FE, 005% P2O5 ACCORDING TO GEOLOGICAL SURVEY DATA CARDS, THE SILICA RANGES FROM 01% TO 14%",Mineralization: IRON; Formation: BUT IN ECONOMIC TERMS IT IS EXPECTED BY MGM THAT IT WILL NOT COMPETE FAVOURABLY WITH THE SANJE GROUP.,256.1292503,3.65898929
MKUSHI COPPER - KATUNGA SECTION,-13.75,29,Central Province,Mkushi,Central > Mkushi,Mkushi District,Mkushi,80 KM NE of Kabwe,Copper,Gold,Emerald,INACTIVE,FREEMAN (1989) ESTIMATED A POSSIBLE ONE MILLION T AT 1.2% Cu (0.4% Cu CUT-OFF) IN FOUR SEPARATE BODIES.,DISSEMINATED SULPHIDES HYDROTHERMAL (?) PORPHYRY COPPER (?),"Rock types: SCHIST, GNEISS; Mineralization: CHALCOPYRITE, PYRITE.",183.873735,2.626767643
UMBA RIVER,-14.3333,30.6333,Eastern Province,Nyimba,Eastern > Nyimba,Within Western Part Of Former Nyimba Mining Licence 123 8 Km NNW Of Nyimba Township,Nyimba,About 370 road KM ENE of Lusaka 85 KM west of Petauke,Gold,,Silver,INACTIVE,NIL,VOLCANOGENIC (?) STRATIFORM MASSIVE SULPHIDE,"Rock types: GRANITE, QUARTZITE, SCHIST; Mineralization: COPPER, MALACHITE, GOLD; Formation: IT CONSISTS OF PRECAMBRIAN ROCKS OF THE MUVA GROUP.",361.4811997,5.164017139
NYIMBA-PETAUKE AREA - CHIPIRINYUWA PROSPECT (ALSO NGAMBUA LUTALA HILLS NOAKE),-14.3333,30.6333,Eastern Province,Nyimba,Eastern > Nyimba,Within Nyimba Mining Licence 123,Nyimba,370 KM ENE of Lusaka,Zinc,Lead,Copper,UNKNOWN,MINERAL SEARCH OF AFRICA LOCATED CU AND Zn GEOCHEMICAL ANOMALIES. FOLLOWED UP BY RESISTIVITY AND GRAVITY SURVEYS,LIMITED PITTING/TREECHING AND 10,000 M IN ZZ BOREHOLES,361.4811997,5.164017139
KABWE MINE (BROKEN HILL),-14.4667,28.4333,Central Province,Kabwe,Central > Kabwe,Kabwe Divisions Broken Hill Mining Licence Area - Ml 1,Kabwe,In town of Kabwe 140 road KM north of Lusaka (on the great north road),Zinc,Lead,Silver,UNKNOWN,"AS OF MARCH 31, 1990: 000s T % Zn % Pb FULLY DEVELOPED 338 19.3 6.7 PARTLY DEVELOPED 337 15.3 2.1 UNDEVELOPED 290 17.5 3.0 THE No. 2 OREBODY, WHICH IS TABULAR, SILICATE-OXIDE Zn MINERALIZATION (WILLEMITE) WITH IRON OXIDES, MAKES UP THE MAJORITY OF THE RESERVES, AND IS ESTIMATED TO CONTAIN ABOUT +800,000 T @ 14% Zn & +1% Pb. TAILINGS RESOURCES ARE: LEACH PLANT RESIDUES OF 3 MILLION T @ 8.3% Pb & 5.5% Zn, ISF SLAGS OF 1 MILLION T @ 0.7% Pb & 8.3% Zn AND OTHERS OF 1 MILLION T @ 5.4% Pb & 12.6% Zn (ZCCM 1990).",CARBONATE-HOSTED ZINC-LEAD PIPE-LIKE DEPOSITS,"Rock: Schist, Dolomite; Minerals: Copper; Formation: Roan Group",224.0409724,3.20058532
CHIMANDA,-14.4167,28.3833,Central Province,Kabwe,Central > Kabwe,Kabwe Mining District,Kabwe,5 KM west of Kabwe,Zinc,Lead,Copper,INACTIVE,"ESTIMATED RESOURCE IF ALL SEPARATE PODS AND LENSES ADDED TOGETHER ARE: 87,000 T @ 1.87% Zn AND 47,000 T @ 2.74% Pb TO DEPTHS OF 50-100 M BELOW SURFACE (FREEMAN 1989). A SOIL AND LATERITE RESOURCE (CALLED PROBABLE ORE RESERVE BY MINEX) OF 134,000 T @ 1.34% Pb WAS CALCULATED IN 1985.",HYDROTHERMAL POD AND VEIN MINERALIZATION,"Rock types: QUARTZITE, SCHIST, GNEISS.",217.2161448,3.103087783
CAMARNOR ZINC,-14.25,28.25,Central Province,Kabwe,Central > Kabwe,Kabwe Area,Kabwe,About 35 KM NW of Kabwe,Vanadium,Zinc,Lead,INACTIVE,"FREEMAN (1988) ESTIMATES RESOURCES, FOR A BODY 1-1.5 M THICK AND TO A DEPTH OF 30 M, OF 37,000 T AVERAGING 11.7% Zn AND 1.4% Pb.",SECONDARY ZINC-LEAD MINERALIZATION IN LATERITIC CLAYS AND DOLOMITE,"Rock types: DOLOMITE, SHALE; Mineralization: PYRITE, HEMATITE.",195.7306065,2.796151522
LIKETULA GROUP,-14.0039,28.0078,Central Province,Central Province,Central,Mufukushi River,Central Province,35 to 43 KM NW of Kabwe,Iron,,,UNKNOWN,SEDIMENTARY AND REPLACEMENT IRON FORMATIONS,"LIKETULA, 43 KM NW OF KABUE ACCORDING TO GUERNSEY, HEMATITE AND MAGNETITE REPLACEMENT BODIES IN QUARTZITE ARE EXPOSED BY TRENCHING IN AN AREA 200 X 60 M AT THAT TIME A PARTIAL ANALYSIS OF A COMPOSITE SAMPLE REPORTED 618% FE, 64% SIO2, AND 03% P2O5 AT THE SAME TIME 12 REPRESENTATIVE SAMPLES AVERAGED 596% FE AND 7% SILICA MNATISHI, 40 KM NW OF KABUE, SMALL SEDIMENTARY IRON DEPOSIT CONTAINING BANDED HEMATITE AND MAGNETITE",THESE ARE NOT SIGNIFICANT IRON RESOURCES AT THE PRESENT TIME BECAUSE THEY ARE DISTANT FROM RAIL ACCESS.,164.4113469,2.348733527
MILLBERG,-14.0167,28.5833,Central Province,Kapiri Mposhi,Central > Kapiri Mposhi,Kapiri Mposhi Area,Kapiri Mposhi,45 KM north of Kabwe (10 KM off railway line),Zinc,Lead,Gold,INACTIVE,"ASSUMING THAT THE MINERALIZATION IS CONTINUOUS BETWEEN DRILL HOLES AND ALONG STRIKE (NOT CERTAIN FROM THE MINIMAL INFORMATION AVAILABLE TO DATE), A PRELIMINARY RESOURCE ESTIMATE, CALCULATED BY FREEMAN (1989) FOR THE FOUR LENSES, IS ABOUT 315,000 T @ 3.7% Zn AND 1.7% Pb.",CARBONATE-HOSTED VEIN AND LENS ZINC-LEAD MINERALIZATION,Rock types: DOLOMITE.,183.0422789,2.614889698
MANTAYA AND CHAMPANDE,-14.8333,28.6833,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Group,Central Province,75 KM NE of Lusaka,Gold,,,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"MINERALIZATION AT MANTAYA OCCURS WITHIN THE MAOMBOSHI GNEISS FORMATION OF DOMINANTLY GRANITIC COMPOSITION, WITH SUBORDINATE AMPHIBOLITES, QUARTZITES AND SCHISTS OCCURRING WITHIN AN AMPHIBOLITE LENS OCCUPYING THE CORE OF A BROAD ANTICLINORIUM SOME 16 KM LONG BY 1-3 KM WIDE ON THE SOUTH SIDE OF THE MAOMBOSHI RIVER AMPHIBOLITE HOST ROCKS COMPRISE HORNBLENDE/BIOTITE QUARTZO-FELDSPATHIC GNEISSES WITH QUARTZITIC AND BIOTITE-MUSCOVITE GRANITIC GNEISS INTERBEDS THE PETROGRAPHY AND THE WELL DEVELOPED LAYERING ACCORDING TO STUDIES BY KRISHNAN ARE INDICATIVE OF A SEDIMENTARY ORIGIN, POSSIBLY TUFFACEOUS, BUT MORE LIKELY FELDSPATHIC AND CALCAREOUS SANDSTONES SULPHIDE MINERALIZATION IS PREDOMINANTLY PYRITE, WITH MINOR PYRRHOTITE AND RARE CHALCOPYRITE OR BORNITE AND COMMONLY LAYERED PARALLEL TO THE BEDDING AND MAKING UP 50% OF THE ROCK THE DISSEMINATED SULPHIDES ARE BELIEVED TO BE SYNGENETIC AND OCCUR WITHIN DISTINCT ZONES UP TO 238 M OF DRILLED INTERVAL (DRILL HOLE ANGLE 7) IN BOTH FELSIC AND MAFIC LITHOLOGIES THE FOLIATION OF THE ROCKS GENERALLY STRIKES NE AND DIPS 40° TO 60° S QUARTZ VEINS PRESENT IN THESE ROCKS NORMALLY HAVE FREE GOLD, IN THE FORM OF GRAINS, FILMS OR WIRES, OR ASSOCIATED WITH LIMONITE IN CAVITIES, OR EMBEDDED IN BISMUTHINITE GOLD IS ALSO CONCENTRATED WITHIN CHLORITIZED VEIN WALLROCK AND INTERNAL STREAKS THE VEINS ARE COMMONLY CONFORMABLE, OR NEAR CONFORMABLE, TO THE FOLIATION METAMORPHISM IS ALMANDINE-AMPHIBOLITE FACIES RETROGRADED TO GREENSCHIST FACIES","Mineralization: PYRITE, GOLD, IRON; Formation: HEMATITE IRON FORMATION.",271.1344186,3.873348837
MAOMBOSHI RIVER,-14.7039,28.5247,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Area,Central Province,80 KM NE of Lusaka,Gold,,,UNKNOWN,ALLUVIAL,"ALLUVIAL OCCURRENCES IRREGULARLY DISTRIBUTED OVER THE AREA, UNDERLAIN BY THE MAOMBOSHI GNEISS UNIT GENERALLY RELATED TO QUARTZ BOULDERS OR FLOAT THE MAOMBOSHI UNIT IS SEPARATED FROM THE MULUNGUSHI BELT TO THE W BY A MAJOR E-STRIKING FAULT STRUCTURE DARLING (NO 190), NO 81 AND NO 72 ARE THE THREE OTHER ALLUVIAL OCCURRENCES IN THE AREA","OF LIMITED EXTENT, BOTH VERTICALLY AND HORIZONTALLY, BELIEVED TO BE SURFACE ENRICHED. FREEMAN BELIEV...",252.1311747,3.601873924
IRON CAP,-14.6833,28.9167,Central Province,Mkushi,Central > Mkushi,Mkushi Area,Mkushi,SE of Kabwe near the mulungushi dam,Gold,,,UNKNOWN,IRON FORMATION OR HYDROTHERMAL QUARTZ VEIN (?),"DESCRIBED AS A QUARTZ REEF, OR QUARTZITE AND IRONSTONE, STRIKING E-W AND DIPPING 45° - 70° N AND TRACEABLE OVER 960 M ALONG STRIKE THE WIDTH VARIES FROM 4 M TO 6 M IN THE EAST TO 06 M TO 09 M IN THE WEST ASSAYS VARIED FROM TRACES TO 22 G AU/T CALCULATIONS OF THE AVERAGE GRADE FROM SURFACE SAMPLES GAVE 158 G AU/T IN THE EASTERN PART AND 11 G AU/T FOR THE WESTERN PART (SLIVA BELIEVES THE LATTER MAY BE OVERSTATED) UNDERGROUND WORKINGS GAVE 38 G AU/T",Minerals: Iron; Formation: Iron Formation,265.4114096,3.791591566
GREENHILLS - NYANA SIDING AREA,-14.6333,28.3333,Lusaka Province,Central Province,Lusaka > Central Province,Surrounding Nyana Siding About 4 Km To The North And Around To The West About 5.5 Km,Central Province,16 KM SW of Kabwe,Copper,,,INACTIVE,COPPER (BORNITE) IN AMYGDALOIDAL ANDESITE,"THE AREA IS OVERLAIN PREDOMINANTLY BY LOWER ROAN DOLOMITE, PHYLLITES, SCHISTS AND ANDESITIC FLOWS THE COPPER ANOMALIES OCCUR ALONG A 6 KM EAST-WEST-TRENDING DOLOMITIC BELT AND OVER 20 KM OF ANDESITIC VOLCANICS THAT MAY EXTEND SUBSTANTIALLY FURTHER TO THE EAST (PART OF A NE-TRENDING, 160 KM LONG BELT) THE MAIN COPPER MINERALIZATION OCCURS IN SHALLOW-DIPPING ZONES IN THE SCHISTOSE ANDESITE, WHICH STRIKES ENE AND DIPS AT ABOUT 60°NW TO THE EAST OF NYANA SIDING, THE AMYGDALES ARE CONCENTRATED IN 3 ROUGHLY PARALLEL BANDS AT DEPTHS OF 15-23 M, 39-52 M AND 55-67 M BELOW SURFACE (DIFFERENT FLOWS ?) THE NEAR-SURFACE MINERALIZATION CONSISTS PREDOMINANTLY OF BORNITE WITH SUBORDINATE CHALCOPYRITE, CHALCOCITE AND SOME PYRITE WITH POSSIBLE MAGNETITE IN AN AMYGDALOIDAL ANDESITE VEINS OF QUARTZ AND CALCITE WITH ASSOCIATED SULPHIDES ARE MOST COMMON IN THE AREAS OF LARGE AMYGDALES IN THE SILICIFIED DOLOMITE, THE MINERALIZATION IS THOUGHT TO BE MAINLY OXIDE AND DUE TO SUPERGENE ENRICHMENT OTHER OCCURRENCES IN THE GENERAL AREA ARE MUNSINSHI (WEAK CU-NI AT CONTACT BETWEEN BASEMENT AND THE KATANGA) AND CHISAMBA (WEAK DISSEMINATED CU)",THE RELATIVELY SHALLOW DIP OF THESE OCCURRENCES AND THE POSSIBILITY THAT THE MINERALIZATION COULD CO...,239.2849038,3.418355769
KAMANO,-14.8833,28.4833,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Group,Central Province,80 KM NE of Lusaka,Gold,Copper,,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"A LONG QUARTZ VEIN CONTAINING IRON OXIDES AND COPPER MINERALS IS TRACEABLE OVER 1,900 M AT AN AVERAGE WIDTH OF 050 M SURFACE SAMPLES ASSAYED FROM TRACES TO 179 G AU/T, REPORTEDLY AVERAGING A QUESTIONABLE 19 G AU/T QUARTZ AND COPPER MINERALS ARE PRESENT ON THE DUMP","TOO LITTLE DATA TO FORM MUCH OF AN OPINION. HOWEVER, THE VEIN IS AURIFEROUS AND THE STRUCTURE SIGNIF...",270.118904,3.858841486
CHISAMBA AND MAOMBOSHI (IRON),-14.95,28.1744,Central Province,Kabwe,Central > Kabwe,East Of Lusaka-Kabwe Road,Kabwe,48 KM north of Lusaka,Iron,Gold,,INACTIVE,SEDIMENTARY IRON FORMATION,"CHISAMBA, 48 KM N OF LUSAKA, SEDIMENTARY IRON FORMATION NEAR BASE OF THE KATANGA SYSTEM STRIKE E, DIP 45° S, 3 KM LONG, 15 M THICK CONSISTS OF MAGNETITE AND HEMATITE GRADING 50% TO 60% FE, PREVIOUSLY MINED AS MAOMBOSHI IRON MAOMBOSHI RIDGE, GUERNSEY MO 192, 17 KM E OF CHISAMBA, SIMILAR TO CHISAMBA, MINED IN 1952-55 WHEN 11,800 T WERE SHIPPED TO KABUE FOR METALLURGICAL PURPOSES AVERAGE GRADE WAS 589% FE AND 78% SIO2","Mineralization: GOLD, IRON.",271.0001433,3.871430618
KAPUTA,-14.8833,28.5,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Group,Central Province,50 KM NE of Lusaka,Gold,,,UNKNOWN,ELUVIAL-ENRICHED GOLD FROM HYDROTHERMAL STOCKWORKS,"THE AREA IS FLAT AND UNDERLAIN BY WEATHERED BASEMENT ROCKS WHICH ARE COMPOSED MAINLY OF STRONGLY SHEARED LEUCOCRATIC-MUSCOVITE GNEISSES, QUARTZ-MUSCOVITE SCHISTS AND MASSIVE, RECRYSTALLIZED QUARTZITES OFTEN THIN LAYERS OF QUARTZITE ARE INTERCALATED IN THE SCHISTS AS ARE SMALL CONCORDANT PEGMATITE FOLIATION PLANES CONTAIN AS ACCESSORY MINERALS A SMALL AMOUNT OF MUSCOVITE AND RARE AMOUNTS OF HEMATITE WITHIN THE PROSPECT AREA, THE BEDROCK IS CAPPED BY A LOCALLY DEVELOPED, POORLY SORTED, SANDY TOP LAYER FOLLOWED BY AN ELUVIAL RUBBLE THE SAND LAYER, 0 TO 16 M THICK, IS COMPOSED OF COARSE TO MEDIUM, POORLY SORTED AND ROUNDED QUARTZ GRAINS BELIEVED AN ELUVIUM WASHED AND TRANSPORTED OVER SHORT DISTANCES THE RUBBLE IS COMPOSED OF ANGULAR QUARTZITE PEBBLES AND QUARTZ/QUARTZ-HEMATITE ROCK MIXED WITH SCHIST FRAGMENTS IN A TOTALLY WEATHERED MATRIX THE PEBBLES VARY IN SIZE WITH THE QUARTZ-HEMATITE PEBBLES BEING AURIFEROUS AND BELIEVED TO BE OF A VEIN ORIGIN THE SCHISTS ARE MAINLY QUARTZ AND MUSCOVITE WITH RARE AMOUNTS OF KYANITE AND FELDSPAR QUARTZ GRAINS OFTEN EXHIBIT A MOSAIC STRUCTURE INDICATIVE OF HEAVY STRESSES DURING TECTONIC EVENTS DISSEMINATED IRON OXIDES IN THE SCHISTS OFTEN PRODUCE A MARKED RED COLOUR QUARTZITES ARE OCCASIONALLY SHEARED OR EVEN MYLONITIZED EAST-WEST-STRIKING AND VERTICALLY DIPPING, TINY QUARTZ VEINS, 5 TO 40 CM THICK, OCCUR AS STOCKWORKS OVER 1 TO 2 M WIDTHS AND STRIKE LENGTHS OF 200-400 M THESE VEINLETS CUTTING THE NEAR FLAT-LYING HOST ROCKS ARE THOUGHT TO BE THE SOURCE OF THE GOLD-BEARING QUARTZ FRAGMENTS THE PROSPECT IS BELIEVED TO BE LOCATED ON THE MAOMBOSHI DISLOCATION ZONE FAINT TRACES OF DISPLACEMENT OF THE COUNTRY ROCKS ARE VISIBLE BUT OBSCURED BY THE STRONG WEATHERING THE AURIFEROUS ROCK IS STRONGLY OXIDIZED AND COMPOSED PREDOMINANTLY OF QUARTZ, LIMONITE AND HEMATITE, AND LOCALLY A CONSIDERABLE AMOUNT OF ANKERITE THE GOLD OCCURRING AS FREE GOLD IS VERY FINE GRAINED THE GRADES VARY FROM 004 G/T TO 52 G/T GOLD WITH ACCOMPANYING BISMUTH GRADES UP TO 10,000 PPM","Rock types: SCHIST; Mineralization: GOLD, IRON.",270.580466,3.865435228
LITETA,-14.7667,28.05,Lusaka Province,Central Province,Lusaka > Central Province,Maomboshi Area,Central Province,73 KM WNW of Lusaka,Gold,,,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"A NORTHEAST-STRIKING, NARROW QUARTZ-IRON CARBONATE VEIN TRACEABLE OVER 120 M AND TO A DEPTH OF 25 M THE VEIN AVERAGES 012 M WIDTH AND CARRIES ERRATIC GOLD VALUES FROM MINOR AMOUNTS TO SEVERAL GRAMS PER TONNE OTHER NARROWER PARALLEL VEINS ARE PRESENT",Mineralization: GOLD.,249.2777871,3.561111245
