Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Shadureck (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 3.11 g/t[cite: 205].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Jack And Rode (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 3.3 g/t[cite: 206].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Eclipse (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 2.09 g/t[cite: 206].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Eva (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 1.47 g/t[cite: 206].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Rob Roy (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 1.2 g/t[cite: 206].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Shaddock (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Luiri Area,Kabwe,,Gold,,,Active,,,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,LUIRI AREA
Chibaba (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Luiri Area,Kabwe,,Gold,,,Active,,,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,LUIRI AREA
Tanduma (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Luiri Area,Kabwe,,Gold,,,Active,,,Part of Matala/Luiri area.,297.3251020298595,4.247501457569422,LUIRI AREA
Jewsuss (Mo 219),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Chibolela (Mo 220),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Chikwashia (Mo 216-218),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Marie (Mo 232/233),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Lewis (Mo 196),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Shiweza (Mo 204),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Chisaka (Mo 207),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Nagasaka (Mo 208),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Maguyunt (Mo 210),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Henry Area (Mo 211),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Miboroma (Mo 223),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Shangara (Mo 215),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Shimwambwa (Mo 213),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Sankamanda (Mo 222),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
Namantombwa,-15.416666666666666,27.366666666666667,Central Province,Kabwe,Central Province > Kabwe,Blue Lagoon Game Reserve,Kabwe,100 KM WEST OF LUSAKA,Iron,,,Active,8.7M to 12.5M T @ 55-58% Fe.,REPLACEMENT IRON,Replacement of folded limestone with gabbro/syenite intrusions[cite: 158].,324.82881180921066,4.640411597274438,BLUE LAGOON GAME RESERVE
Ngaibwe (Nagaibwa),-15.416666666666666,27.366666666666667,Central Province,Kabwe,Central Province > Kabwe,20 Km E Of Kapanda,Kabwe,100 KM WEST OF LUSAKA,Iron,,,Active,30 Million T @ 45-60% Fe.,BANDED IRON FORMATION,Hill of BIF projecting above Kafue Flats. Higher metamorphic grade than Pamba[cite: 157].,324.82881180921066,4.640411597274438,20 KM E OF KAPANDA
Blue Lagoon (Iron),-15.416666666666666,27.366666666666667,Central Province,Kabwe,Central Province > Kabwe,10 Km E Of Kapanda,Kabwe,100 KM WEST OF LUSAKA,Iron,,,Active,,SEDIMENTARY IRON FORMATION,"Small tabular sedimentary iron formation, banded hematite/magnetite[cite: 160].",324.82881180921066,4.640411597274438,10 KM E OF KAPANDA
Nemesha (Memencha),-15.416666666666666,27.366666666666667,Central Province,Kabwe,Central Province > Kabwe,6 Km S Of Kapanda,Kabwe,100 KM WEST OF LUSAKA,Iron,,,Active,,SKARN,Small tabular skarn with Kundelungu marble/syenite. Martitized magnetite[cite: 161].,324.82881180921066,4.640411597274438,6 KM S OF KAPANDA
Kapanda,-15.416666666666666,27.366666666666667,Central Province,Kabwe,Central Province > Kabwe,Namantombwa Group Area,Kabwe,100 KM WEST OF LUSAKA,Iron,,,Active,,,Reference location for Ngaibwe/Blue Lagoon [cite: 157-161].,324.82881180921066,4.640411597274438,NAMANTOMBWA GROUP AREA
Chandete (Chanobie),-15.133333333333333,27.116666666666667,Central Province,Kabwe,Central Province > Kabwe,Central Region,Kabwe,25 KM SOUTH OF MUMBWA,Copper,Silver,,Active,"Est 15,000 T @ 1.5% Cu (North) [cite: 287].",BRECCIA ZONE,Malachite/pseudo-malachite in brecciated dolomitic rock[cite: 293].,299.7544696653696,4.28220670950528,CENTRAL REGION
Mutombe,-15.25,27.75,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mwembeshi River,Kabwe,8 KM SW OF PAMBA,Iron,,,Active,10 Million T @ 30-40% Fe [cite: 335].,SEDIMENTARY IRON FORMATION,"Ferruginous quartzite similar to Pamba, striking E, dipping N[cite: 353].",302.27600729462574,4.318228675637511,MWEMBESHI RIVER
Pamba,-15.25,27.75,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Mwembeshi River,Kabwe,48 KM WEST OF LUSAKA,Iron,,,Active,21 Million T @ 49.2% Fe or 10-20M T @ 51% Fe [cite: 335-336].,SEDIMENTARY IRON FORMATION,Ferruginous quartzite in seven kopjes. Magnetite/martite [cite: 347-350].,302.27600729462574,4.318228675637511,MWEMBESHI RIVER
Sanje Copper,-15.433333333333334,27.933333333333334,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,30 KM SW OF LUSAKA,Copper,Germanium,Silver,Active,"14,000 T @ 4.30% Cu (High Grade). 476,000 T @ 0.68% Cu [cite: 382-383].",STRATIFORM COPPER,"Pipe-shaped body of low-grade copper. High grade contains 60 g/t Ge, 150 g/t Ag.",322.59429818629854,4.608489974089979,LUSAKA DISTRICT
Sanje (Iron),-15.5,27.916666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,35 KM WSW OF LUSAKA,Iron,,,Active,"Probable Ore: 3.8 Million T @ 62% Fe, 1.3% S[cite: 433].",IRON REPLACEMENT,Pipe-like hydrothermal replacement of limestone. Massive specular hematite[cite: 448].,329.9603638320765,4.713719483315378,LUSAKA SANJE AREA
Cheta (Iron),-15.5,27.916666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,6 Km N Of Nampundwe,Kabwe,35 KM WSW OF LUSAKA,Iron,,,Active,Approx 5 Million T @ 66.75% Fe[cite: 435].,IRON REPLACEMENT,Hematite-magnetite-martite-limonite deposit. Pyritic at depth [cite: 453-454].,329.9603638320765,4.713719483315378,6 KM N OF NAMPUNDWE
Strauss Ridge,-15.5,27.916666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Iron,,,Active,,STRATIFORM MAGNETITE-HEMATITE,Small stratiform deposit striking East for approx 300m[cite: 457].,329.9603638320765,4.713719483315378,24 KM WSW OF LUSAKA
Venter'S Ridge,-15.5,27.916666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,,Iron,,,Active,0.5 Million T @ 66.9% Fe [cite: 437].,STRATIFORM IRON,"Friable, porous, magnetite-hematite-jasper ore[cite: 459].",329.9603638320765,4.713719483315378,24 KM WSW OF LUSAKA
Chitentabunga,-15.4,28.8,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,40 KM ESE OF LUSAKA,Gold,Silver,Copper,Active,NIL,HYDROTHERMAL QUARTZ VEIN,"Quartz veins crosscut Chongwe Group. Traces W, Bi, Tin with 0.5 g/t Au [cite: 493-495].",334.8367830744032,4.783382615348617,LUSAKA AREA
Chongwe Iron,-15.25,28.5,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Chongwe,Kabwe,45 KM EAST OF LUSAKA,Iron,,,Active,10 Million T @ 65% Fe (Stohl) or 1M T @ 64% Fe (Woakes) [cite: 524-525].,SEDIMENTARY IRON FORMATION,21 km line of outcrops of iron ore. Granular massive magnetite/specular hematite [cite: 530-531].,310.1225666244568,4.430322380349383,WEST BANK CHONGWE RIVER
Kasisi North Iron,-15.25,28.5,Lusaka Province,Kabwe,Lusaka Province > Kabwe,2 Km Ne Of Kasisi Village,Kabwe,45 KM EAST OF LUSAKA,Iron,,,Active,,SEDIMENTARY IRON FORMATION,Part of Chongwe Iron group.,310.1225666244568,4.430322380349383,2 KM NE OF KASISI VILLAGE
Mweba Stream (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Copper,,,Active,,GEOCHEM TARGET,590 ppm Cu in stream sediment. Muva age quartzites[cite: 573].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Beswa Hill (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Copper,,,Active,,QUARTZITE HOSTED,Malachite in quartzite. Best grab sample 1.10% Cu[cite: 575].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Nkaseka Hill (Mo 121 / Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Gold,,,Active,,VEIN,Several veins up to 0.6m wide. 11/52 samples > 1.7 g/t Au [cite: 581-582].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Geelong Malunda (Mo 129),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Gold,Bismuth,,Active,,VEIN,Veins up to 40m long. Trench samples up to 1.2 g/t Au[cite: 589].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Jessie Mine (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Unknown,,,Active,,,,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Darg Mine (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Unknown,,,Active,,,,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
New Mo (Lusaka East),-15.25,29.5,Central Province,Mkushi,Central Province > Mkushi,9.66 Km East Of Jessie Mine,Mkushi,80 KM EAST OF LUSAKA,Copper,,,Active,,QUARTZITE HOSTED,Chalcocite and malachite in bands in quartzite[cite: 576].,350.6688628839872,5.00955518405696,9.66 KM EAST OF JESSIE MINE
Mo 119/120 (Lusaka East),-15.25,29.5,Central Province,Mkushi,Central Province > Mkushi,Mulambwa Stream Basin,Mkushi,80 KM EAST OF LUSAKA,Gold,Bismuth,,Active,,VEIN,Rubble/float of tourmaline/vein quartz. Assays 5.5 and 1.9 g/t Au [cite: 578-579].,350.6688628839872,5.00955518405696,MULAMBWA STREAM BASIN
Mo 126 (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Gold,,,Active,,VEIN,"Several quartz veins, main one 1.3m wide, 210m long[cite: 585].",350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Mo 160/161 (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Copper,Gold,Silver,Active,,BASEMENT,Widespread basement copper mineralization with traces gold/silver[cite: 592].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Mo 207 (Chisaka),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Copper,Gold,,Active,,,Old prospect not found by Chartered Ex.,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Mo 52 (Lusaka East),-15.25,29.5,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,80 KM EAST OF LUSAKA,Copper,,,Active,,AMYGDALOIDAL,Minor copper in amygdales/joint planes[cite: 595].,350.6688628839872,5.00955518405696,LUSAKA EAST AREA
Kuanga,-15.233333333333333,28.883333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chinyunyu Dome,Mkushi,80 KM EAST OF LUSAKA,Gold,Copper,,Active,UNKNOWN,HYDROTHERMAL VEIN,Quartz vein 50m x 1m. High gold values from surface not duplicated later [cite: 644-647].,320.2772901204454,4.575389858863506,CHINYUNYU DOME
Pala Darg,-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chinyunyu Dome,Mkushi,75 KM ENE OF LUSAKA,Gold,Bismuth,,Active,Est. 297 T @ 2.63% Bi. Garlick est. 408 T @ 4% Bi.,HYDROTHERMAL VEIN,"Quartz vein strikes E 25 S, 1m width. Bismuthinite/native bismuth [cite: 674-676].",317.3168719480668,4.533098170686669,CHINYUNYU DOME
Shamgla (Pala Darg Group),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Pala Darg Area,Mkushi,75 KM ENE OF LUSAKA,Unknown,,,Active,,,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,PALA DARG AREA
Kayebwe (Pala Darg Group),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Pala Darg Area,Mkushi,75 KM ENE OF LUSAKA,Unknown,,,Active,,,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,PALA DARG AREA
Cairn Dhu (Pala Darg Group),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Pala Darg Area,Mkushi,75 KM ENE OF LUSAKA,Unknown,,,Active,,,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,PALA DARG AREA
Rainbow (Mo 251),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Pala Darg Area,Mkushi,75 KM ENE OF LUSAKA,Unknown,,,Active,,,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,PALA DARG AREA
Devonshire (Pala Darg Group),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Pala Darg Area,Mkushi,75 KM ENE OF LUSAKA,Unknown,,,Active,,,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,PALA DARG AREA
Lucre (Pala Darg Group),-15.25,28.75,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Se End Of Pala Darg System,Mkushi,75 KM ENE OF LUSAKA,Gold,Bismuth,Silver,Active,,VEIN,"Veins near contact basic schists/granite. Ag (7ppm), Au (2.4ppm)[cite: 681].",317.3168719480668,4.533098170686669,SE END OF PALA DARG SYSTEM
Chalalobuka (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,Sulphide: 1.4M T @ 2.88% Cu. Oxide: 0.7M T @ 1.83% Cu.,SHEAR ZONE COPPER,Thickness 0.72-7.09m. Capped by Cu-bearing micaceous mud.,307.3580141224631,4.390828773178044,CHONGWE GROUP
50/59 (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,"Sulphide: 1.9M T @ 1.54% Cu. Oxide: 59,000 T @ 1.81% Cu.",SHEAR ZONE COPPER,Thickness 0.40-8.66m.,307.3580141224631,4.390828773178044,CHONGWE GROUP
Chongwe South,-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,"A Lens: 161,000 T @ 2.58% Cu. C Lens: 223,000 T @ 2.46% Cu [cite: 730-736].",SHEAR ZONE COPPER,,307.3580141224631,4.390828773178044,CHONGWE GROUP
Lucky Jim (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,"Oxide: 121,000 T @ 2.42% Cu (Refractory) [cite: 752-753].",SHEAR ZONE COPPER,,307.3580141224631,4.390828773178044,CHONGWE GROUP
Kanakantapa (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,"Oxide: 41,000 T @ 1.70% Cu (Refractory)[cite: 754].",SHEAR ZONE COPPER,,307.3580141224631,4.390828773178044,CHONGWE GROUP
Tanta Wanda (Mo 256),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,,VEIN,Two small shoots Cp-Bn-Cc. Assays 3.52% Cu/1.4m[cite: 770].,307.3580141224631,4.390828773178044,CHONGWE GROUP
Chilonga (Mo 257),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,,SEDIMENTARY/SHEAR,Surface mineralization avg 1.3% Cu. Area 150 x 100m[cite: 770].,307.3580141224631,4.390828773178044,CHONGWE GROUP
Sisengo (Mo 258),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,,SHEAR,Explored by shallow shafts. Similar to Allies but small[cite: 770].,307.3580141224631,4.390828773178044,CHONGWE GROUP
Robuko (Mo 258),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,43 KM NNE OF LUSAKA,Copper,,,Active,,SHEAR,Similar to Sisengo[cite: 770].,307.3580141224631,4.390828773178044,CHONGWE GROUP
Chisolaki (Mo 259),-15.333333333333334,28.666666666666668,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,40 KM ENE OF LUSAKA,Gold,,,Active,,HYDROTHERMAL QUARTZ VEIN,Erratic gold in ironstone lenses. Highest assay 67.7 g/t[cite: 770].,323.5812915934773,4.622589879906819,CHONGWE GROUP
Lusoke (Mo 259),-15.333333333333334,28.666666666666668,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,40 KM ENE OF LUSAKA,Gold,,,Active,,HYDROTHERMAL QUARTZ VEIN,Part of Chisolaki area[cite: 770].,323.5812915934773,4.622589879906819,CHONGWE GROUP
Chaiyenda (Mo 260),-15.316666666666666,28.616666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,40 KM ENE OF LUSAKA,Gold,,,Active,"11,500 T @ 1 g/t Au[cite: 830].",HYDROTHERMAL QUARTZ VEIN,Gold mineralization 390 x 40m area.,320.3637243948388,4.576624634211983,CHONGWE GROUP
Nkanda (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,SHEAR,Sulphide mineralization. Part of Katuba-Tundwe-Nkanda group[cite: 770].,307.3580141224631,4.390828773178044,WEST OF CHONGWE BLOCKS
Tundwe (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,SHEAR,Sulphide mineralization. Part of Katuba-Tundwe-Nkanda group[cite: 770].,307.3580141224631,4.390828773178044,WEST OF CHONGWE BLOCKS
Katubu (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,SHEAR,Sulphide mineralization. Best intersection 2.09% Cu over 2.7m[cite: 770].,307.3580141224631,4.390828773178044,WEST OF CHONGWE BLOCKS
Chibukama (Chongwe),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,SHEAR,No values > 0.5% Cu intersected[cite: 770].,307.3580141224631,4.390828773178044,3 KM WSW OF CHONGWE
Chongwe North (Rst),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,,Part of Chongwe Group.,307.3580141224631,4.390828773178044,CHONGWE GROUP
Chongwe East (Mo 255),-15.216666666666669,28.53333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,,Copper,,,Active,,,36 km SE of Chalalobuka.,307.3580141224631,4.390828773178044,EXTREME SE OF CHONGWE GROUP
Allies (Mo 261),-15.266666666666667,28.58333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Chongwe,Mkushi,40 KM NE OF LUSAKA,Copper,Gold,,Active,"Lens 1: 130,000 T @ 4.37% Cu. Lens 2: 59,000 T @ 4.84% Cu[cite: 866].",SHEAR ZONE,Shear zone 300m long. Cp-Po sulphide. Gold avg 9.4 g/t in hand picked samples.,314.07246918530785,4.486749559790113,11 KM SE OF CHONGWE OCCURRENCES
Charambana (Mo 264),-15.383333333333333,28.616666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,29 KM EAST OF LUSAKA,Copper,,,Active,,SHEAR/STRATIFORM,Malachite widespread 400m strike. Adit 1.3% Cu over 24m [cite: 947-948].,327.52771075995224,4.678967296570747,EAST OF LUSAKA
Colossus (Mo 263),-15.383333333333333,28.616666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,5 Km Nw Of Charambana,Mkushi,,Copper,,,Active,,QUARTZITE HOSTED,Low-grade occurrence in quartzite[cite: 950].,327.52771075995224,4.678967296570747,5 KM NW OF CHARAMBANA
Myoba (Mo 265),-15.383333333333333,28.616666666666667,Lusaka Province,Mkushi,Lusaka Province > Mkushi,2 Km S Of Charambana,Mkushi,,Copper,,,Active,,SHEAR,Malachite/chalcocite/bornite in limestone[cite: 951].,327.52771075995224,4.678967296570747,2 KM S OF CHARAMBANA
Logofo,-15.5,28.73333333333333,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Lusaka,Mkushi,46 KM EAST OF LUSAKA,Gold,,,Active,NONE,HYDROTHERMAL VEIN,Ferruginous quartz veins cutting banded limestone. Assayed < 0.5 g/t [cite: 984-985].,343.3676615267746,4.905252307525352,LUSAKA AREA
Input Anomaly 148,-15.25,28.03333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,30 KM WEST OF LUSAKA,Sulphur,Zinc,Copper,Active,3.0 Million T @ 6.0% S[cite: 1015].,PYRITIC REPLACEMENT,Replacement in carbonate rocks of Cheta Formation.,302.7306246568286,4.324723209383265,WEST OF LUSAKA
Input Anomaly 16,-15.25,28.03333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,30 KM WEST OF LUSAKA,Sulphur,Zinc,Lead,Active,11.4 Million T @ 6.0% S[cite: 1015].,PYRITIC REPLACEMENT,,302.7306246568286,4.324723209383265,WEST OF LUSAKA
Input Anomaly 46,-15.25,28.03333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,30 KM WEST OF LUSAKA,Sulphur,Zinc,Copper,Active,10.0 Million T @ 12.0% S[cite: 1015].,PYRITIC REPLACEMENT,,302.7306246568286,4.324723209383265,WEST OF LUSAKA
White Rock,-15.5,28.133333333333333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,35 KM SW OF LUSAKA,Zinc,Copper,Lead,Active,NIL,SECONDARY CARBONATE-HOSTED ZINC,Original outcrop 46m x 4.5m. Mineralization continues 250m strike [cite: 1061-1063].,331.2947792323636,4.732782560462337,LUSAKA DISTRICT
Excelsior Zinc,-15.416666666666666,28.166666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,15-20 KM WEST OF LUSAKA,Zinc,Silver,,Active,NIL,CARBONATE-HOSTED VEIN,"Willemite in coarse calcite veins in dolomite. Avg 40% Zn, 78 g/t Ag.",322.4309516237371,4.6061564517676725,LUSAKA DISTRICT
